PhotoP,Vern,Cult,FLN,TON,SN,HSTS,FITS,HSFI,ONFI
8,Full,Amarok,11.342857142857143,31.51851851851852,20.175661375661377,7.711688311688312,4.0,3.711688311688312,10.111544011544012
8,Full,BattenSpring,11.75,26.75,,8.081818181818182,5.454545454545454,2.627272727272728,7.824363636363637
8,Full,BattenWinter,12.025,29.0,16.975,8.331818181818182,5.409090909090908,2.9227272727272737,8.391636363636366
8,Full,CRWT153,14.244444444444444,34.24444444444444,,10.349494949494948,1.9727272727272727,8.376767676767676,23.418371212121208
8,Full,Otane,9.11111111111111,28.0,18.88888888888889,6.464646464646464,4.236363636363636,2.2282828282828273,7.058303030303028
8,Full,Saracen,10.256410256410257,29.256410256410255,,7.505827505827506,4.463636363636363,3.042191142191143,8.621006993006995
8,Nil,Amarok,16.358974358974358,34.666666666666664,18.307692307692307,12.27179487179487,4.0,8.27179487179487,23.162499999999998
8,Nil,BattenSpring,12.14102564102564,24.166666666666668,12.025641025641027,8.437296037296036,5.454545454545454,2.9827505827505822,8.506881118881118
8,Nil,BattenWinter,13.5,27.6,14.100000000000001,9.672727272727272,5.409090909090908,4.263636363636364,11.706060606060607
8,Nil,CRWT153,16.844444444444445,33.84444444444445,,12.713131313131314,1.9727272727272727,10.74040404040404,29.17973484848485
8,Nil,Otane,8.355263157894736,23.319148936170212,14.963885778275476,5.777511961722487,4.236363636363636,1.5411483253588507,5.739004784688993
8,Nil,Saracen,11.133333333333333,26.076923076923077,14.943589743589744,8.303030303030303,4.463636363636363,3.83939393939394,10.480471380471382
16,Full,Amarok,9.136363636363637,26.333333333333332,17.196969696969695,5.705785123966942,2.0,3.705785123966942,10.094490358126722
16,Full,BattenSpring,7.947368421052632,22.0,14.052631578947368,4.62488038277512,2.0,2.62488038277512,7.819770334928231
16,Full,BattenWinter,8.277777777777779,21.75,13.472222222222221,4.925252525252526,2.0,2.9252525252525263,8.39648484848485
16,Full,CRWT153,14.272727272727273,33.0,18.727272727272727,10.375206611570249,2.0,8.375206611570249,23.41456611570248
16,Full,Otane,6.6521739130434785,20.956521739130434,14.304347826086955,4.229249011857707,2.0,2.229249011857707,7.060158102766797
16,Full,Saracen,7.545454545454546,23.954545454545453,16.409090909090907,5.041322314049586,2.0,3.0413223140495864,8.619338842975207
16,Nil,Amarok,15.19047619047619,36.1578947368421,20.967418546365913,11.209523809523809,2.0,9.209523809523809,25.448214285714283
16,Nil,BattenSpring,8.0,23.208333333333332,15.208333333333332,4.672727272727273,2.0,2.672727272727273,7.911636363636363
16,Nil,BattenWinter,15.5,33.705882352941174,18.205882352941174,11.49090909090909,2.0,9.49090909090909,26.134090909090908
16,Nil,CRWT153,15.625,34.666666666666664,19.041666666666664,11.604545454545454,2.0,9.604545454545454,26.411079545454545
16,Nil,Otane,6.935483870967742,22.258064516129032,15.32258064516129,4.486803519061583,2.0,2.486803519061583,7.55466275659824
16,Nil,Saracen,10.714285714285714,32.75,22.035714285714285,7.9220779220779205,2.0,5.9220779220779205,16.497113997113992
