SimulationName,Genotype,Trt,FLN,Duration
PalmerstonNorthCETreat1oC0hCvSpringDurat1,BattenSpring,1oC_Dark,9.407407407407407,1.0
PalmerstonNorthCETreat1oC0hCvSpringDurat2,BattenSpring,1oC_Dark,9.89655172413793,2.0
PalmerstonNorthCETreat1oC0hCvSpringDurat3,BattenSpring,1oC_Dark,9.11111111111111,3.0
PalmerstonNorthCETreat1oC0hCvSpringDurat4,BattenSpring,1oC_Dark,9.037037037037036,4.0
PalmerstonNorthCETreat1oC0hCvSpringDurat5,BattenSpring,1oC_Dark,9.074074074074074,5.0
PalmerstonNorthCETreat1oC0hCvSpringDurat6,BattenSpring,1oC_Dark,8.88888888888889,6.0
PalmerstonNorthCETreat1oC0hCvSpringDurat7,BattenSpring,1oC_Dark,9.085714285714285,7.0
PalmerstonNorthCETreat1oC0hCvSpringDurat8,BattenSpring,1oC_Dark,9.25,8.0
PalmerstonNorthCETreat1oC0hCvSpringDurat9,BattenSpring,1oC_Dark,8.666666666666666,9.6
PalmerstonNorthCETreat1oC0hCvSpringDurat12,BattenSpring,1oC_Dark,8.833333333333334,12.0
PalmerstonNorthCETreat5oC16hCvSpringDurat1,BattenSpring,5oC_16h,9.09375,1.0
PalmerstonNorthCETreat5oC16hCvSpringDurat2,BattenSpring,5oC_16h,9.0,2.0
PalmerstonNorthCETreat5oC16hCvSpringDurat3,BattenSpring,5oC_16h,8.90625,3.0
PalmerstonNorthCETreat5oC16hCvSpringDurat4,BattenSpring,5oC_16h,8.194444444444445,4.0
PalmerstonNorthCETreat5oC16hCvSpringDurat5,BattenSpring,5oC_16h,8.1875,5.0
PalmerstonNorthCETreat5oC16hCvSpringDurat6,BattenSpring,5oC_16h,8.27027027027027,6.0
PalmerstonNorthCETreat5oC16hCvSpringDurat8,BattenSpring,5oC_16h,8.0,8.0
PalmerstonNorthCETreat5oC16hCvSpringDurat10,BattenSpring,5oC_16h,7.975609756097561,10.0
PalmerstonNorthCETreat5oC16hCvSpringDurat12,BattenSpring,5oC_16h,,12.0
PalmerstonNorthCETreat5oC8hCvSpringDurat0,BattenSpring,5oC_8h,7.945945945945946,0.0
PalmerstonNorthCETreat5oC8hCvSpringDurat1,BattenSpring,5oC_8h,7.945945945945946,1.0
PalmerstonNorthCETreat5oC8hCvSpringDurat2,BattenSpring,5oC_8h,8.054054054054054,2.0
PalmerstonNorthCETreat5oC8hCvSpringDurat3,BattenSpring,5oC_8h,7.756756756756757,3.0
PalmerstonNorthCETreat5oC8hCvSpringDurat4,BattenSpring,5oC_8h,7.972972972972973,4.0
PalmerstonNorthCETreat5oC8hCvSpringDurat5,BattenSpring,5oC_8h,8.0,5.0
PalmerstonNorthCETreat5oC8hCvSpringDurat6,BattenSpring,5oC_8h,8.0,6.0
PalmerstonNorthCETreat5oC8hCvSpringDurat7,BattenSpring,5oC_8h,8.0,7.0
PalmerstonNorthCETreat5oC8hCvSpringDurat9,BattenSpring,5oC_8h,8.882352941176471,9.0
PalmerstonNorthCETreat5oC8hCvSpringDurat12,BattenSpring,5oC_8h,,12.0
PalmerstonNorthCETreat8oC16hCvSpringDurat0,BattenSpring,8oC_16h,8.0,0.0
PalmerstonNorthCETreat8oC16hCvSpringDurat2,BattenSpring,8oC_16h,7.85,2.0
PalmerstonNorthCETreat8oC16hCvSpringDurat3,BattenSpring,8oC_16h,7.771428571428571,3.0
PalmerstonNorthCETreat8oC16hCvSpringDurat4,BattenSpring,8oC_16h,7.564102564102564,4.0
PalmerstonNorthCETreat8oC16hCvSpringDurat5,BattenSpring,8oC_16h,7.34,5.0
PalmerstonNorthCETreat8oC16hCvSpringDurat6,BattenSpring,8oC_16h,7.05,6.0
PalmerstonNorthCETreat8oC16hCvSpringDurat7,BattenSpring,8oC_16h,7.0,7.5
PalmerstonNorthCETreat8oC16hCvSpringDurat9,BattenSpring,8oC_16h,7.0,9.0
PalmerstonNorthCETreat8oC16hCvSpringDurat12,BattenSpring,8oC_16h,7.133333333333334,12.0
PalmerstonNorthCETreat8oC8hCvSpringDurat2,BattenSpring,8oC_8h,7.46875,2.0
PalmerstonNorthCETreat8oC8hCvSpringDurat3,BattenSpring,8oC_8h,7.962962962962963,3.0
PalmerstonNorthCETreat8oC8hCvSpringDurat4,BattenSpring,8oC_8h,8.03225806451613,4.0
PalmerstonNorthCETreat8oC8hCvSpringDurat5,BattenSpring,8oC_8h,8.45,5.0
PalmerstonNorthCETreat8oC8hCvSpringDurat6,BattenSpring,8oC_8h,9.1,6.0
PalmerstonNorthCETreat8oC8hCvSpringDurat7,BattenSpring,8oC_8h,9.08,7.0
PalmerstonNorthCETreat8oC8hCvSpringDurat8,BattenSpring,8oC_8h,9.3,8.0
PalmerstonNorthCETreat8oC8hCvSpringDurat10,BattenSpring,8oC_8h,9.9,10.0
PalmerstonNorthCETreat11oC16hCvSpringDurat0,BattenSpring,11oC_16h,9.428571428571429,0.0
PalmerstonNorthCETreat11oC16hCvSpringDurat1,BattenSpring,11oC_16h,8.970588235294118,1.0
PalmerstonNorthCETreat11oC16hCvSpringDurat2,BattenSpring,11oC_16h,8.0,2.0
PalmerstonNorthCETreat11oC16hCvSpringDurat3,BattenSpring,11oC_16h,8.0,3.0
PalmerstonNorthCETreat11oC16hCvSpringDurat4,BattenSpring,11oC_16h,7.78,4.0
PalmerstonNorthCETreat11oC16hCvSpringDurat5,BattenSpring,11oC_16h,7.923076923076923,5.0
PalmerstonNorthCETreat11oC16hCvSpringDurat6,BattenSpring,11oC_16h,7.9523809523809526,6.0
PalmerstonNorthCETreat11oC16hCvSpringDurat7,BattenSpring,11oC_16h,7.76,7.0
PalmerstonNorthCETreat11oC16hCvSpringDurat8,BattenSpring,11oC_16h,7.7894736842105265,8.0
PalmerstonNorthCETreat11oC16hCvSpringDurat9,BattenSpring,11oC_16h,7.653846153846154,9.0
PalmerstonNorthCETreat11oC8hCvSpringDurat0,BattenSpring,11oC_8h,8.962962962962964,0.0
PalmerstonNorthCETreat11oC8hCvSpringDurat1,BattenSpring,11oC_8h,8.852941176470589,1.0
PalmerstonNorthCETreat11oC8hCvSpringDurat2,BattenSpring,11oC_8h,8.970588235294118,2.0
PalmerstonNorthCETreat11oC8hCvSpringDurat3,BattenSpring,11oC_8h,9.333333333333334,3.0
PalmerstonNorthCETreat11oC8hCvSpringDurat4,BattenSpring,11oC_8h,10.117647058823529,4.0
PalmerstonNorthCETreat11oC8hCvSpringDurat5,BattenSpring,11oC_8h,10.38888888888889,5.0
PalmerstonNorthCETreat11oC8hCvSpringDurat6,BattenSpring,11oC_8h,11.0,6.0
PalmerstonNorthCETreat11oC8hCvSpringDurat7,BattenSpring,11oC_8h,11.96,7.0
PalmerstonNorthCETreat11oC8hCvSpringDurat8,BattenSpring,11oC_8h,12.0,8.0
PalmerstonNorthCETreat11oC8hCvSpringDurat12,BattenSpring,11oC_8h,13.0,12.0
PalmerstonNorthCETreat25oC8hCvSpringDurat1,BattenSpring,25oC_8h,9.178571428571429,1.0
PalmerstonNorthCETreat25oC8hCvSpringDurat2,BattenSpring,25oC_8h,9.851851851851851,2.0
PalmerstonNorthCETreat25oC8hCvSpringDurat3,BattenSpring,25oC_8h,10.090909090909092,3.0
PalmerstonNorthCETreat25oC8hCvSpringDurat4,BattenSpring,25oC_8h,11.058823529411764,4.0
PalmerstonNorthCETreat25oC8hCvSpringDurat5,BattenSpring,25oC_8h,11.346153846153847,5.0
PalmerstonNorthCETreat25oC8hCvSpringDurat6,BattenSpring,25oC_8h,12.764705882352942,6.0
PalmerstonNorthCETreat25oC8hCvSpringDurat7,BattenSpring,25oC_8h,13.166666666666666,7.0
PalmerstonNorthCETreat25oC8hCvSpringDurat12,BattenSpring,25oC_8h,13.3,12.0
PalmerstonNorthCETreat1oC0hCvWinterDurat1,BattenWinter,1oC_Dark,18.75,1.0
PalmerstonNorthCETreat1oC0hCvWinterDurat2,BattenWinter,1oC_Dark,19.0,2.0
PalmerstonNorthCETreat1oC0hCvWinterDurat3,BattenWinter,1oC_Dark,18.636363636363637,3.0
PalmerstonNorthCETreat1oC0hCvWinterDurat4,BattenWinter,1oC_Dark,18.444444444444443,4.0
PalmerstonNorthCETreat1oC0hCvWinterDurat5,BattenWinter,1oC_Dark,19.25,5.0
PalmerstonNorthCETreat1oC0hCvWinterDurat6,BattenWinter,1oC_Dark,19.09090909090909,6.0
PalmerstonNorthCETreat1oC0hCvWinterDurat7,BattenWinter,1oC_Dark,18.0,7.0
PalmerstonNorthCETreat1oC0hCvWinterDurat8,BattenWinter,1oC_Dark,14.545454545454545,8.0
PalmerstonNorthCETreat1oC0hCvWinterDurat9,BattenWinter,1oC_Dark,12.9,9.6
PalmerstonNorthCETreat1oC0hCvWinterDurat12,BattenWinter,1oC_Dark,9.818181818181818,12.0
PalmerstonNorthCETreat5oC16hCvWinterDurat1,BattenWinter,5oC_16h,20.25,1.0
PalmerstonNorthCETreat5oC16hCvWinterDurat2,BattenWinter,5oC_16h,20.181818181818183,2.0
PalmerstonNorthCETreat5oC16hCvWinterDurat3,BattenWinter,5oC_16h,19.333333333333332,3.0
PalmerstonNorthCETreat5oC16hCvWinterDurat4,BattenWinter,5oC_16h,18.818181818181817,4.0
PalmerstonNorthCETreat5oC16hCvWinterDurat5,BattenWinter,5oC_16h,14.4,5.0
PalmerstonNorthCETreat5oC16hCvWinterDurat6,BattenWinter,5oC_16h,10.5,6.0
PalmerstonNorthCETreat5oC16hCvWinterDurat8,BattenWinter,5oC_16h,8.535714285714286,8.0
PalmerstonNorthCETreat5oC16hCvWinterDurat10,BattenWinter,5oC_16h,8.142857142857142,10.0
PalmerstonNorthCETreat5oC16hCvWinterDurat12,BattenWinter,5oC_16h,,12.0
PalmerstonNorthCETreat5oC8hCvWinterDurat0,BattenWinter,5oC_8h,19.0,0.0
PalmerstonNorthCETreat5oC8hCvWinterDurat1,BattenWinter,5oC_8h,19.0,1.0
PalmerstonNorthCETreat5oC8hCvWinterDurat2,BattenWinter,5oC_8h,19.0,2.0
PalmerstonNorthCETreat5oC8hCvWinterDurat3,BattenWinter,5oC_8h,19.0,3.0
PalmerstonNorthCETreat5oC8hCvWinterDurat4,BattenWinter,5oC_8h,14.222222222222221,4.0
PalmerstonNorthCETreat5oC8hCvWinterDurat5,BattenWinter,5oC_8h,9.125,5.0
PalmerstonNorthCETreat5oC8hCvWinterDurat6,BattenWinter,5oC_8h,8.8125,6.0
PalmerstonNorthCETreat5oC8hCvWinterDurat7,BattenWinter,5oC_8h,8.409090909090908,7.0
PalmerstonNorthCETreat5oC8hCvWinterDurat9,BattenWinter,5oC_8h,9.0,9.0
PalmerstonNorthCETreat5oC8hCvWinterDurat12,BattenWinter,5oC_8h,,12.0
PalmerstonNorthCETreat8oC16hCvWinterDurat0,BattenWinter,8oC_16h,17.8,0.0
PalmerstonNorthCETreat8oC16hCvWinterDurat2,BattenWinter,8oC_16h,18.434782608695652,2.0
PalmerstonNorthCETreat8oC16hCvWinterDurat3,BattenWinter,8oC_16h,16.363636363636363,3.0
PalmerstonNorthCETreat8oC16hCvWinterDurat4,BattenWinter,8oC_16h,10.11111111111111,4.0
PalmerstonNorthCETreat8oC16hCvWinterDurat5,BattenWinter,8oC_16h,9.0,5.0
PalmerstonNorthCETreat8oC16hCvWinterDurat6,BattenWinter,8oC_16h,8.9,6.0
PalmerstonNorthCETreat8oC16hCvWinterDurat7,BattenWinter,8oC_16h,9.0,7.5
PalmerstonNorthCETreat8oC16hCvWinterDurat9,BattenWinter,8oC_16h,8.785714285714286,9.0
PalmerstonNorthCETreat8oC16hCvWinterDurat12,BattenWinter,8oC_16h,8.5,12.0
PalmerstonNorthCETreat8oC8hCvWinterDurat2,BattenWinter,8oC_8h,17.88,2.0
PalmerstonNorthCETreat8oC8hCvWinterDurat3,BattenWinter,8oC_8h,13.86046511627907,3.0
PalmerstonNorthCETreat8oC8hCvWinterDurat4,BattenWinter,8oC_8h,9.235294117647058,4.0
PalmerstonNorthCETreat8oC8hCvWinterDurat5,BattenWinter,8oC_8h,9.066666666666666,5.0
PalmerstonNorthCETreat8oC8hCvWinterDurat6,BattenWinter,8oC_8h,8.947368421052632,6.0
PalmerstonNorthCETreat8oC8hCvWinterDurat7,BattenWinter,8oC_8h,9.4,7.0
PalmerstonNorthCETreat8oC8hCvWinterDurat8,BattenWinter,8oC_8h,9.61111111111111,8.0
PalmerstonNorthCETreat8oC8hCvWinterDurat10,BattenWinter,8oC_8h,10.0,10.0
PalmerstonNorthCETreat11oC16hCvWinterDurat0,BattenWinter,11oC_16h,18.857142857142858,0.0
PalmerstonNorthCETreat11oC16hCvWinterDurat1,BattenWinter,11oC_16h,18.6,1.0
PalmerstonNorthCETreat11oC16hCvWinterDurat2,BattenWinter,11oC_16h,18.5,2.0
PalmerstonNorthCETreat11oC16hCvWinterDurat3,BattenWinter,11oC_16h,18.833333333333332,3.0
PalmerstonNorthCETreat11oC16hCvWinterDurat4,BattenWinter,11oC_16h,18.5,4.0
PalmerstonNorthCETreat11oC16hCvWinterDurat5,BattenWinter,11oC_16h,17.625,5.0
PalmerstonNorthCETreat11oC16hCvWinterDurat6,BattenWinter,11oC_16h,17.3,6.0
PalmerstonNorthCETreat11oC16hCvWinterDurat7,BattenWinter,11oC_16h,12.523809523809524,7.0
PalmerstonNorthCETreat11oC16hCvWinterDurat8,BattenWinter,11oC_16h,12.571428571428571,8.0
PalmerstonNorthCETreat11oC16hCvWinterDurat9,BattenWinter,11oC_16h,,9.0
PalmerstonNorthCETreat11oC8hCvWinterDurat0,BattenWinter,11oC_8h,19.0,0.0
PalmerstonNorthCETreat11oC8hCvWinterDurat1,BattenWinter,11oC_8h,19.0,1.0
PalmerstonNorthCETreat11oC8hCvWinterDurat2,BattenWinter,11oC_8h,19.0,2.0
PalmerstonNorthCETreat11oC8hCvWinterDurat3,BattenWinter,11oC_8h,19.0,3.0
