SNPCode,GEPCode,WGSCode,Seed group,TidyName
GEP_001_CRWT153,GEP_001,GEP_001,Core,CRWT153
GEP_004_HRZ07_0097_springtype,GEP_004,GEP_004,Catherine,hrz07_0097_springtype
GEP_005_HRZ07_0097_wintertype,GEP_005,GEP_005,Catherine,hrz07_0097_wintertype
GEP_006_374_Q7_A4,GEP_006,GEP_006,GeneBank,374_q7_a4
GEP_007_Afghanistan_48,GEP_007,GEP_007,GeneBank,afghanistan_48
GEP_008_Afghanistan_55,GEP_008,GEP_008,GeneBank,afghanistan_55
GEP_009_CNT_1,GEP_009,GEP_009,GeneBank,cnt_1
GEP_010_DARIUS_GLI_DI,GEP_010,GEP_010,GeneBank,darius_gli_di
GEP_011_DOYO_333,GEP_011,GEP_011,GeneBank,doyo_333
GEP_012_DOYO_4,GEP_012,GEP_012,GeneBank,doyo_4
GEP_013_DOYO_7,GEP_013,GEP_013,GeneBank,doyo_7
GEP_014_DOYO_924,GEP_014,GEP_014,GeneBank,doyo_924
GEP_015_DOYO_961,GEP_015,GEP_015,GeneBank,doyo_961
GEP_016_ETAYA_26,GEP_016,GEP_016,GeneBank,etaya_26
GEP_017_Etaya_28,GEP_017,GEP_017,GeneBank,etaya_28
GEP_018_ETAYA_31,GEP_018,GEP_018,GeneBank,etaya_31
GEP_019_Etaya_32,GEP_019,GEP_019,GeneBank,etaya_32
GEP_020_ETAYA_33,GEP_020,GEP_020,GeneBank,etaya_33
GEP_021_ETAYA_34,GEP_021,GEP_021,GeneBank,etaya_34
GEP_022_Ex_Iraq_39,GEP_022,GEP_022,GeneBank,ex_iraq_39
GEP_023_Ex_Iraq_40,GEP_023,GEP_023,GeneBank,ex_iraq_40
GEP_024_EX_IRAQ_50,GEP_024,GEP_024,GeneBank,ex_iraq_50
GEP_025_EX_MOROCCO_27,GEP_025,GEP_025,GeneBank,ex_morocco_27
GEP_026_Fortunato_P_S_681,GEP_026,GEP_026,GeneBank,fortunato_p_s_681
