"","Well","Sample_label","Sample_date","Ta","TaVRN2","VRN1","VRN3-3","deltaCT_VRN1","deltaCT_VRN2","deltaCT_VRN3"
"1","A1","BS",4,25.8394069671631,33.1056632995605,27.9094505310059,31.5192775726318,2.07004356384277,7.26625633239746,2.67987060546875
"2","A1","BS",10,27.0175895690918,NA,30.0410079956055,NA,3.02341842651367,NA,NA
"3","A1","BW",1,27.9158744812012,32.41162109375,NA,NA,NA,4.49574661254883,NA
"4","A1","BW",7,25.4391651153564,30.060115814209,NA,NA,NA,4.62095069885254,NA
"5","A2","BS",4,26.4303646087646,NA,27.7110805511475,31.8414268493652,1.28071594238281,NA,2.41106224060059
"6","A2","BS",10,26.968957901001,NA,29.9388637542725,30.7004108428955,2.96990585327148,NA,0.731452941894531
"7","A2","BW",1,27.7227153778076,32.7081184387207,33.6246490478516,NA,5.90193367004395,4.98540306091309,NA
"8","A2","BW",7,25.2513904571533,29.9829483032227,NA,NA,NA,4.73155784606934,NA
"9","A3","BS",4,26.500804901123,33.516773223877,27.7317695617676,32.0814399719238,1.23096466064453,7.01596832275391,2.58063507080078
"10","A3","BS",10,27.1576480865479,NA,30.1627025604248,29.9157390594482,3.00505447387695,NA,-0.241909027099609
"11","A3","BW",1,27.6211280822754,32.6412353515625,33.5368995666504,NA,5.915771484375,5.02010726928711,NA
"12","A3","BW",7,25.1715908050537,NA,NA,NA,NA,NA,NA
"13","A4","BS",8,25.3298091888428,32.0731964111328,27.8910808563232,31.9436702728271,2.56127166748047,6.74338722229004,3.61386108398438
"14","A4","BW",2,25.9188137054443,30.9255561828613,NA,NA,NA,5.00674247741699,NA
"15","A4","BW",5,25.8238334655762,29.9125308990479,NA,NA,NA,4.08869743347168,NA
"16","A4","BW",11,26.2917194366455,32.697566986084,NA,NA,NA,6.40584754943848,NA
"17","A5","BS",8,25.4966068267822,31.8191452026367,27.760721206665,32.7236557006836,2.26411437988281,6.32253837585449,4.22704887390137
"18","A5","BW",2,26.0122299194336,31.2291202545166,33.2124824523926,NA,7.20025253295898,5.21689033508301,NA
"19","A5","BW",5,25.8980312347412,29.8511810302734,33.6148719787598,NA,7.71684074401855,3.95314979553223,NA
"20","A5","BW",11,26.2526245117188,NA,NA,NA,NA,NA,NA
"21","A6","BS",8,25.676872253418,32.0473937988281,27.9078159332275,NA,2.23094367980957,6.37052154541016,NA
"22","A6","BW",2,25.8338642120361,31.3610305786133,NA,NA,NA,5.52716636657715,NA
"23","A6","BW",5,25.7973079681396,29.7642269134521,NA,NA,NA,3.9669189453125,NA
"24","A6","BW",11,26.309362411499,32.3881645202637,NA,NA,NA,6.07880210876465,NA
"25","A7","BS",3,25.9563083648682,33.3972434997559,27.0386924743652,30.337610244751,1.08238410949707,7.4409351348877,1.38130187988281
"26","A7","BS",9,25.5944747924805,32.0838737487793,28.5550193786621,29.0262985229492,2.96054458618164,6.48939895629883,0.43182373046875
"27","A7","BS",12,26.7620868682861,NA,29.882438659668,NA,3.12035179138184,NA,NA
