"Well","SampleName","TargetName","Task","Reporter","Ct","plate","geno_set"
"A2","28 BW S1","VRN1","Unknown","SYBR",33.6246490478516,"1","BW+BS"
"A3","28 BW S1","VRN1","Unknown","SYBR",33.5368995666504,"1","BW+BS"
"A4","7 BW S2","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"A6","7 BW S2","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"A7","3 BS S3","VRN1","Unknown","SYBR",27.0386924743652,"1","BW+BS"
"A8","3 BS S3","VRN1","Unknown","SYBR",26.9061450958252,"1","BW+BS"
"A9","3 BS S3","VRN1","Unknown","SYBR",27.1040706634521,"1","BW+BS"
"A12","Otane IRC","VRN1","IRC","SYBR",30.508918762207,"1","BW+BS"
"B1","31 BS S1","VRN1","Unknown","SYBR",26.9671497344971,"1","BW+BS"
"B2","31 BS S1","VRN1","Unknown","SYBR",26.8665771484375,"1","BW+BS"
"B3","31 BS S1","VRN1","Unknown","SYBR",26.8036289215088,"1","BW+BS"
"B4","37 BS S2","VRN1","Unknown","SYBR",26.1839618682861,"1","BW+BS"
"B5","37 BS S2","VRN1","Unknown","SYBR",26.2823181152344,"1","BW+BS"
"B6","37 BS S2","VRN1","Unknown","SYBR",26.1507415771484,"1","BW+BS"
"B8","29 BW S3","VRN1","Unknown","SYBR",35.9351005554199,"1","BW+BS"
"B9","29 BW S3","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"B12","Otane IRC","VRN1","IRC","SYBR",29.9879055023193,"1","BW+BS"
"C1","55 BS S1","VRN1","Unknown","SYBR",28.3173179626465,"1","BW+BS"
"C2","55 BS S1","VRN1","Unknown","SYBR",28.195182800293,"1","BW+BS"
"C3","55 BS S1","VRN1","Unknown","SYBR",28.4083290100098,"1","BW+BS"
"C5","51 BW S2","VRN1","Unknown","SYBR",33.7047271728516,"1","BW+BS"
"C6","51 BW S2","VRN1","Unknown","SYBR",33.6447792053223,"1","BW+BS"
"C8","87 BW S3","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"C9","87 BW S3","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"C12","Otane IRC","VRN1","IRC","SYBR",30.1927051544189,"1","BW+BS"
"D1","65 BW S1","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"D2","65 BW S1","VRN1","Unknown","SYBR",35.1819648742676,"1","BW+BS"
"D3","65 BW S1","VRN1","Unknown","SYBR",35.8657341003418,"1","BW+BS"
"D4","80 BS S2","VRN1","Unknown","SYBR",26.6102085113525,"1","BW+BS"
"D5","80 BS S2","VRN1","Unknown","SYBR",26.5856628417969,"1","BW+BS"
"D6","80 BS S2","VRN1","Unknown","SYBR",26.5584335327148,"1","BW+BS"
"D7","92 BS S3","VRN1","Unknown","SYBR",27.3148059844971,"1","BW+BS"
"D8","92 BS S3","VRN1","Unknown","SYBR",27.1386375427246,"1","BW+BS"
"D9","92 BS S3","VRN1","Unknown","SYBR",27.321044921875,"1","BW+BS"
"E1","98 BS S1","VRN1","Unknown","SYBR",27.8394451141357,"1","BW+BS"
"E2","98 BS S1","VRN1","Unknown","SYBR",27.9150466918945,"1","BW+BS"
"E3","98 BS S1","VRN1","Unknown","SYBR",27.6650638580322,"1","BW+BS"
"E4","124 BW S2","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"E5","124 BW S2","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"E6","124 BW S2","VRN1","Unknown","SYBR",NA,"1","BW+BS"
"E7","101 BS S3","VRN1","Unknown","SYBR",26.6628170013428,"1","BW+BS"
"E8","101 BS S3","VRN1","Unknown","SYBR",26.5422306060791,"1","BW+BS"
"E9","101 BS S3","VRN1","Unknown","SYBR",26.7950305938721,"1","BW+BS"
"F2","144 BW S1","VRN1","Unknown","SYBR",34.9908409118652,"1","BW+BS"
