"Well","SampleName","TargetName","Task","Reporter","Ct","plate"
"A1","SCN 16","VRN1","Unknown","SYBR",35.9299583435059,"plate1"
"A3","SCN 16","VRN1","Unknown","SYBR",35.9197196960449,"plate1"
"A4","BS 98","VRN1","Unknown","SYBR",27.0743427276611,"plate1"
"A5","BS 98","VRN1","Unknown","SYBR",26.9468994140625,"plate1"
"A6","BS 98","VRN1","Unknown","SYBR",27.0108547210693,"plate1"
"A7","BW 07","VRN1","Unknown","SYBR",NA,"plate1"
"A8","BW 07","VRN1","Unknown","SYBR",NA,"plate1"
"A9","BW 07","VRN1","Unknown","SYBR",NA,"plate1"
"A12","IR CAL","VRN1","IRC","SYBR",25.3448333740234,"plate1"
"B1","OT 18","VRN1","Unknown","SYBR",29.2024803161621,"plate1"
"B2","OT 18","VRN1","Unknown","SYBR",29.3332233428955,"plate1"
"B4","OT 119","VRN1","Unknown","SYBR",26.3320121765137,"plate1"
"B5","OT 119","VRN1","Unknown","SYBR",26.4552192687988,"plate1"
"B6","OT 119","VRN1","Unknown","SYBR",26.3714942932129,"plate1"
"B7","OT 15","VRN1","Unknown","SYBR",27.9799098968506,"plate1"
"B8","OT 15","VRN1","Unknown","SYBR",28.0028076171875,"plate1"
"B9","OT 15","VRN1","Unknown","SYBR",28.069787979126,"plate1"
"B12","IR CAL","VRN1","IRC","SYBR",25.2703437805176,"plate1"
"C1","BW 28","VRN1","Unknown","SYBR",NA,"plate1"
"C3","BW 28","VRN1","Unknown","SYBR",NA,"plate1"
"C5","SCN 137","VRN1","Unknown","SYBR",31.6206035614014,"plate1"
"C6","SCN 137","VRN1","Unknown","SYBR",31.5523681640625,"plate1"
"C7","BS 37","VRN1","Unknown","SYBR",27.5564384460449,"plate1"
"C8","BS 37","VRN1","Unknown","SYBR",27.858699798584,"plate1"
"C9","BS 37","VRN1","Unknown","SYBR",27.6455936431885,"plate1"
"C12","IR CAL","VRN1","IRC","SYBR",25.1811752319336,"plate1"
"D1","BS 31","VRN1","Unknown","SYBR",29.9752368927002,"plate1"
"D2","BS 31","VRN1","Unknown","SYBR",29.9878063201904,"plate1"
"D3","BS 31","VRN1","Unknown","SYBR",30.1036815643311,"plate1"
"D4","BW 144","VRN1","Unknown","SYBR",NA,"plate1"
"D5","BW 144","VRN1","Unknown","SYBR",NA,"plate1"
"D6","BW 144","VRN1","Unknown","SYBR",NA,"plate1"
"D7","SCN 39","VRN1","Unknown","SYBR",NA,"plate1"
"D8","SCN 39","VRN1","Unknown","SYBR",36.757511138916,"plate1"
"D9","SCN 39","VRN1","Unknown","SYBR",35.9507331848145,"plate1"
"E1","BS 55","VRN1","Unknown","SYBR",30.9709129333496,"plate1"
"E2","BS 55","VRN1","Unknown","SYBR",30.8190898895264,"plate1"
"E3","BS 55","VRN1","Unknown","SYBR",31.0085144042969,"plate1"
"E4","BW 150","VRN1","Unknown","SYBR",NA,"plate1"
"E5","BW 150","VRN1","Unknown","SYBR",NA,"plate1"
"E6","BW 150","VRN1","Unknown","SYBR",NA,"plate1"
"E7","BW 51","VRN1","Unknown","SYBR",NA,"plate1"
"E8","BW 51","VRN1","Unknown","SYBR",NA,"plate1"
"E9","BW 51","VRN1","Unknown","SYBR",NA,"plate1"
"F1","OT 62","VRN1","Unknown","SYBR",29.8042774200439,"plate1"
"F2","OT 62","VRN1","Unknown","SYBR",29.7521724700928,"plate1"
"F3","OT 62","VRN1","Unknown","SYBR",29.9682331085205,"plate1"
"F4","SCN 164","VRN1","Unknown","SYBR",33.8312911987305,"plate1"
"F5","SCN 164","VRN1","Unknown","SYBR",33.3670349121094,"plate1"
"F7","SCN 63","VRN1","Unknown","SYBR",31.9764003753662,"plate1"
"F9","SCN 63","VRN1","Unknown","SYBR",32.2814826965332,"plate1"
"F12","N T","VRN1","NTC","SYBR",NA,"plate1"
"G1","BW 65","VRN1","Unknown","SYBR",NA,"plate1"
"G2","BW 65","VRN1","Unknown","SYBR",NA,"plate1"
"G3","BW 65","VRN1","Unknown","SYBR",NA,"plate1"
"G4","OT 169","VRN1","Unknown","SYBR",27.7096481323242,"plate1"
