SampleName	Time
SCN 16	S1
OT 18	S1
BW 28	S1
BS 31	S1
BS 55	S1
OT 62	S1
BW 65	S1
SCN 71	S1
BS 98	S1
OT 119	S1
SCN 137	S1
BW 144	S1
BW 150	S1
SCN 164	S1
OT 169	S1
BS 185	S1
BW 7	S2
OT 15	S2
BS 37	S2
SCN 39	S2
BW 51	S2
SCN 63	S2
OT 66	S2
BS 80	S2
BW 124	S2
SCN 132	S2
BS 139	S2
OT 140	S2
BW 158	S2
BS 161	S2
OT 183	S2
SCN 188	S2
SCN 1	S3
BS 3	S3
BW 29	S3
OT 40	S3
OT 58	S3
SCN 78	S3
BW 87	S3
BS 92	S3
OT 97	S3
BS 101	S3
BW 115	S3
SCN 136	S3
SCN 153	S3
BW 155	S3
BS 189	S3
OT 191	S3
SCN 5	S4
BS 6	S4
BW 13	S4
OT 27	S4
SCN 50	S4
OT 53	S4
BW 83	S4
BS 93	S4
BS 99	S4
BW 107	S4
OT 125	S4
SCN 126	S4
OT 146	S4
BW 152	S4
SCN 170	S4
BS 171	S4
BW 4	S5
OT 12	S5
BS 20	S5
SCN 36	S5
BW 61	S5
BS 86	S5
OT 94	S5
SCN 96	S5
BS 109	S5
OT 129	S5
SCN 133	S5
BW 138	S5
SCN 154	S5
BW 166	S5
BS 172	S5
OT 181	S5
SCN 23	S6
BW 38	S6
BS 46	S6
OT 48	S6
OT 59	S6
SCN 67	S6
BW 74	S6
BS 88	S6
BS 100	S6
SCN 105	S6
BW 131	S6
OT 135	S6
BS 156	S6
SCN 173	S6
BW 176	S6
OT 177	S6
BW 26	S7
OT 30	S7
SCN 34	S7
BS 47	S7
BS 56	S7
SCN 72	S7
OT 73	S7
BW 79	S7
SCN 111	S7
OT 117	S7
BW 120	S7
BS 121	S7
BS 145	S7
BW 147	S7
OT 162	S7
SCN 186	S7
BS 9	S8
OT 21	S8
BW 32	S8
SCN 43	S8
SCN 54	S8
BW 75	S8
BS 77	S8
OT 82	S8
BS 113	S8
BW 116	S8
OT 122	S8
SCN 143	S8
SCN 148	S8
OT 159	S8
BW 165	S8
BS 167	S8
OT 8	S9
SCN 10	S9
BS 19	S9
BW 24	S9
SCN 70	S9
OT 81	S9
BS 85	S9
BW 91	S9
OT 108	S9
BS 110	S9
BW 127	S9
SCN 141	S9
BW 178	S9
SCN 179	S9
BS 187	S9
OT 192	S9
BS 2	S10
SCN 17	S10
BW 35	S10
OT 44	S10
BW 57	S10
OT 64	S10
BS 89	S10
SCN 95	S10
OT 102	S10
BW 112	S10
BS 118	S10
SCN 123	S10
SCN 149	S10
OT 163	S10
BW 168	S10
BS 174	S10
BW 11	S11
SCN 25	S11
OT 33	S11
BS 42	S11
BS 49	S11
BW 52	S11
OT 69	S11
SCN 84	S11
BW 103	S11
BS 104	S11
OT 106	S11
SCN 128	S11
OT 160	S11
BS 175	S11
SCN 182	S11
BW 190	S11
BS 14	S12
BW 22	S12
OT 41	S12
SCN 45	S12
BS 60	S12
OT 68	S12
SCN 76	S12
BW 90	S12
SCN 114	S12
BW 130	S12
BS 134	S12
OT 142	S12
SCN 151	S12
BW 157	S12
BS 180	S12
OT 184	S12
