Plate,Name,sample_well,EGF1a,Ta54227,VRN1,VRN2,VRN3,Col,Row,Experiment,Plot_ID_Old,Plot_IDNew,SampleDate,Vern,Cult,Pp,is_repeat,VRN1_EGF,VRN1_Ta,VRN2_EGF,VRN2_Ta,VRN3_EGF,VRN3_Ta
GEP1,AMK105,A1,24.035,24.665,NA,31.1,NA,1,A,3,105,300105,2014-02-04T00:00:00Z,none,Amarok,16,FALSE,0,0,0.0074683227937011,0.0115577149160065,0,0
GEP1,AMK157,G1,25.16,24.6466666666667,NA,30.66,NA,1,G,3,157,300157,2014-02-04T00:00:00Z,none,Amarok,16,FALSE,0,0,0.0220970869120796,0.0154812595822692,0,0
GEP1,AMK159,A9,21.715,22.145,NA,29.37,NA,9,A,3,159,300159,2014-02-25T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00496152727554214,0.00668433613814534,0,0
GEP1,AMK190,A11,21.865,22.795,NA,29.5833333333333,NA,11,A,3,190,300190,2014-03-04T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00474843120261316,0.00904707198941353,0,0
GEP1,AMK193,E6,22.5133333333333,23.44,NA,31.56,NA,6,E,3,193,300193,2014-02-18T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00189095839059157,0.00359448301025342,0,0
GEP1,AMK212,A5,22.28,22.89,NA,29.34,NA,5,A,3,212,300212,2014-02-11T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00749425093222863,0.0114381694995752,0,0
GEP1,AMK227,D9,22.2366666666667,23.335,29.61,29.675,NA,9,D,3,227,300227,2014-02-25T00:00:00Z,none,Amarok,16,FALSE,0.00603122455751694,0.0129132862211596,0.00576552087511472,0.0123443954978653,0,0
GEP1,AMK239,C5,22.6166666666667,23.515,NA,30.1266666666667,NA,5,C,3,239,300239,2014-02-18T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00548611279585156,0.0102256285321847,0,0
GEP1,AMK278,B5,21.975,22.34,NA,28.895,NA,5,B,3,278,300278,2014-02-11T00:00:00Z,none,Amarok,16,FALSE,0,0,0.0082579534418858,0.0106352665351521,0,0
GEP1,AMK304,F10,24.46,25.425,NA,33.315,NA,10,F,3,304,300304,2014-03-04T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00215963018226615,0.00421573529884543,0,0
GEP1,AMK306,C2,23.82,23.355,NA,30.53,NA,2,C,3,306,300306,2014-02-04T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00955187716946928,0.00692005874298719,0,0
GEP1,AMK36,C3,21.45,22.365,NA,28.565,NA,3,C,3,36,300036,2014-02-11T00:00:00Z,none,Amarok,16,FALSE,0,0,0.0072139243025734,0.0136023525515019,0,0
GEP1,AMK63,B6,23.765,23.91,NA,31.26,NA,6,B,3,63,300063,2014-02-18T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00554345061015775,0.00612956326481837,0,0
GEP1,AMK75,C8,23.665,24.645,NA,30.435,NA,8,C,3,75,300075,2014-02-25T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00916277304087403,0.0180732528735201,0,0
GEP1,AMK88,C11,21.37,22.43,NA,28.04,NA,11,C,3,88,300088,2014-03-04T00:00:00Z,none,Amarok,16,FALSE,0,0,0.0098204169884518,0.0204748969352869,0,0
GEP1,AMK9,D12,23.885,24.545,NA,32.265,NA,12,D,3,9,300009,2014-03-11T00:00:00Z,none,Amarok,16,FALSE,0,0,0.00300170933845314,0.00474294876716816,0,0
GEP1,BS100,E7,23.74,23.6066666666667,25.0766666666667,NA,31.855,7,E,3,100,300100,2014-02-25T00:00:00Z,none,Batten Spr,16,FALSE,0.395934402639859,0.360982298880623,0,0,0.00360696215128669,0.0032885485087064
GEP1,BS108,H5,21.85,22.645,24.8133333333333,32.17,31.695,5,H,3,108,300108,2014-02-18T00:00:00Z,none,Batten Spr,16,FALSE,0.128217640179252,0.222467526461689,0.000782294802333615,0.00135734201156478,0.00108732579905145,0.00188659439243134
GEP1,BS132,E9,22.1133333333333,22.5233333333333,23.7066666666667,NA,29.5466666666667,9,E,3,132,300132,2014-02-25T00:00:00Z,none,Batten Spr,16,FALSE,0.331404860446632,0.440332936798074,0,0,0.00578553731361939,0.00768716135553213
GEP1,BS139,G5,21.17,21.7733333333333,24.1,33.44,29.7966666666667,5,G,3,139,300139,2014-02-18T00:00:00Z,none,Batten Spr,16,FALSE,0.131214585452883,0.1993441720983,0.000202470592239854,0.000307597912571991,0.00252996533572646,0.00384358067776606
GEP1,BS167,B1,22.93,22.7766666666667,25.88,32.93,34.045,1,B,3,167,300167,2014-02-04T00:00:00Z,none,Batten Spr,16,FALSE,0.129408115480172,0.116359964512235,0.0009765625,0.000878096226209166,0.000450870268910837,0.00040540926119989
GEP1,BS168,H9,23.88,23.725,24.8833333333333,NA,30.175,9,H,3,168,300168,2014-03-04T00:00:00Z,none,Batten Spr,16,FALSE,0.498846088263511,0.448029820955977,0,0,0.012735505193791,0.0114381694995752
GEP1,BS18,C12,21.59,22.355,23.33,NA,26.005,12,C,3,18,300018,2014-03-11T00:00:00Z,none,Batten Spr,16,FALSE,0.299369676154732,0.508739846051344,0,0,0.0468762184151817,0.0796600392074538
GEP1,BS225,C7,21.6666666666667,22.48,24.06,NA,28.87,7,C,3,225,300225,2014-02-18T00:00:00Z,none,Batten Spr,16,FALSE,0.190342109016534,0.334481888696528,0,0,0.00678548036149794,0.0119239000700044
GEP1,BS246,B9,19.2966666666667,19.935,21.24,NA,27.685,9,B,3,246,300246,2014-02-25T00:00:00Z,none,Batten Spr,16,FALSE,0.26001498347212,0.404721108273705,0,0,0.00298442076484075,0.00464534029297939
GEP1,BS252,D10,21.5633333333333,22.26,23.11,NA,27.96,10,D,3,252,300252,2014-03-04T00:00:00Z,none,Batten Spr,16,FALSE,0.342300032237798,0.554784736033923,0,0,0.0118689270643406,0.0192366314585143
GEP1,BS297,H4,20.34,21.375,23.835,29.51,32.565,4,H,3,297,300297,2014-02-11T00:00:00Z,none,Batten Spr,16,FALSE,0.0886952097625238,0.181746564665039,0.00173602086165346,0.00355730403746867,0.000208885504317042,0.000428030137361346
GEP1,BS30,B2,22.845,23.295,26.685,33.485,NA,2,B,3,30,300030,2014-02-04T00:00:00Z,none,Batten Spr,16,FALSE,0.0698304461295136,0.0953912005600349,0.000626672801544387,0.000856060274722692,0,0
GEP1,BS80,B3,20.9233333333333,21.45,24.515,29.835,33.575,3,B,3,80,300080,2014-02-11T00:00:00Z,none,Batten Spr,16,FALSE,0.0829469838961604,0.119493164699218,0.00207644781987892,0.00299132421307496,0.000155406377847338,0.000223877940235515
GEP1,BS93,D11,22.595,22.935,24.1333333333333,NA,28.4133333333333,11,D,3,93,300093,2014-03-04T00:00:00Z,none,Batten Spr,16,FALSE,0.344282956152076,0.435778421941072,0,0,0.0177217718803234,0.0224314496143565
GEP1,BW107,E1,23.275,23.42,NA,29.885,NA,1,E,3,107,300107,2014-02-04T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.0102374484676434,0.01131986058246,0,0
GEP1,BW120,H7,23.795,24.51,NA,31.295,NA,7,H,3,120,300120,2014-02-25T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.0055242717280199,0.00906799933112279,0,0
GEP1,BW154,B4,22.6833333333333,23.1933333333333,32.015,29.4966666666667,NA,4,B,3,154,300154,2014-02-11T00:00:00Z,none,Batten Win,16,FALSE,0.00155198823168783,0.00221010914489941,0.00889164870771737,0.0126621540814053,0,0
GEP1,BW158,B10,21.6066666666667,22.64,NA,30.925,NA,10,B,3,158,300158,2014-03-04T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.00156639813390223,0.00320602190941602,0,0
GEP1,BW207,B7,22.34,22.95,NA,29.825,NA,7,B,3,207,300207,2014-02-18T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.00558200835836363,0.0085195916614473,0,0
GEP1,BW219,F12,25.7266666666667,25.48,NA,NA,NA,12,F,3,219,300219,2014-03-11T00:00:00Z,none,Batten Win,16,FALSE,0,0,0,0,0,0
GEP1,BW238,F8,22.5066666666667,23.4633333333333,NA,31.61,NA,8,F,3,238,300238,2014-02-25T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.00181812444550367,0.00352865312809056,0,0
GEP1,BW280,G10,21.6566666666667,22.34,NA,31.05,NA,10,G,3,280,300280,2014-03-04T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.00148704772669168,0.00238796929236733,0,0
GEP1,BW328,D7,21.5933333333333,22.54,NA,29.115,NA,7,D,3,328,300328,2014-02-18T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.00544192705325084,0.0104888476779708,0,0
GEP1,BW332,D2,21.9,22.55,NA,28.63,NA,2,D,3,332,300332,2014-02-04T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.00942037365383404,0.0147821507300874,0,0
GEP1,BW39,G9,22.3166666666667,22.675,NA,33.15,NA,9,G,3,39,300039,2014-03-04T00:00:00Z,none,Batten Win,16,FALSE,0,0,0.000548077172026061,0.000702604287114659,0,0
GEP1,BW43,B8,21.7733333333333,22.55,31.04,30.13,NA,8,B,3,43,300043,2014-02-25T00:00:00Z,none,Batten Win,16,FALSE,0.00162351151590388,0.00278134803827553,0.00305065200560524,0.00522627951088323,0,0
GEP1,CRWT133,D8,22.3666666666667,23.16,NA,30.675,NA,8,D,3,133,300133,2014-02-25T00:00:00Z,none,CRWT153,16,FALSE,0,0,0.00315458658906266,0.00546713228748123,0,0
GEP1,CRWT140,C1,23.32,24.645,NA,32.59,NA,1,C,3,140,300140,2014-02-04T00:00:00Z,none,CRWT153,16,FALSE,0,0,0.00161976473791884,0.00405804337225651,0,0
