Plate,sample_well,qPCR_well,Name,Cp,gene,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,reason,exclude.all,exclude.VRN1,exclude.VRN2,exclude.Vrn3,exclude.EGF1a,exclude.Ta54227
GEP1,A1,A1,AMK105,NA,VRN1,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A2,AMK105,NA,VRN1,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,B1,AMK105,NA,VRN1,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A1,AMK105,NA,VRN2,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A2,AMK105,31.47,VRN2,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,B1,AMK105,30.73,VRN2,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A1,AMK105,NA,VRN3,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A2,AMK105,NA,VRN3,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,B1,AMK105,NA,VRN3,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A1,AMK105,NA,EGF1a,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A2,AMK105,24.11,EGF1a,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,B1,AMK105,23.96,EGF1a,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A1,AMK105,NA,Ta54227,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,A2,AMK105,24.74,Ta54227,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A1,B1,AMK105,24.59,Ta54227,1,A,3,105,300105,2014-02-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A19,SCN2,23.58,VRN1,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A20,SCN2,NA,VRN1,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,B19,SCN2,23.75,VRN1,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A19,SCN2,32.52,VRN2,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A20,SCN2,NA,VRN2,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,B19,SCN2,33.39,VRN2,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A19,SCN2,30.88,VRN3,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A20,SCN2,NA,VRN3,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,B19,SCN2,30.59,VRN3,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A19,SCN2,NA,EGF1a,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A20,SCN2,22.18,EGF1a,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,B19,SCN2,22.21,EGF1a,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A19,SCN2,22.23,Ta54227,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,A20,SCN2,22.31,Ta54227,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A10,B19,SCN2,22.37,Ta54227,10,A,3,2,300002,2014-03-04,None,Saracen,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,A21,AMK190,NA,VRN1,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,A22,AMK190,NA,VRN1,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,B21,AMK190,NA,VRN1,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,A21,AMK190,29.58,VRN2,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,A22,AMK190,29.75,VRN2,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,B21,AMK190,29.42,VRN2,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
GEP1,A11,A21,AMK190,NA,VRN3,11,A,3,190,300190,2014-03-04,None,Amarok,16,NA,NA,NA,NA,NA,NA,NA
