ex_sample_plate,ex_sample_plate_well,Name,sample_well,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp
GEP1,A6,BW96,A11,21.0733333333333,24.51,NaN,28.4566666666667,NaN,0,0.0648537286974843,0,6,A,3,96,300096,2014-02-18,None,Batten Win,16
GEP1,F6,OT220,C9,23.3966666666667,25.945,28.78,32.475,NaN,0.140145759753564,0.0108211677196166,0,6,F,3,220,300220,2014-02-18,None,Otane,16
GEP1,G12,AMK258,A1,21.97,24.8533333333333,NaN,31.015,NaN,0,0.0139686202255806,0,12,G,3,258,300258,2014-03-11,None,Amarok,16
GEP2,A3,AMK320,E1,22.62,25.78,NaN,32.4433333333333,NaN,0,0.00986590196243466,0,3,A,3,320,300320,2014-03-18,None,Amarok,16
GEP2,A5,BW219,C2,22.9466666666667,25.5766666666667,28.7,32.2,32.835,0.114758002495653,0.0101432702200124,0.00653166568975398,5,A,3,219,300219,2014-03-25,None,Batten Win,16
GEP2,A6,SCN71,B11,21.48,25.8233333333333,30.44,31.305,NaN,0.0407610021801739,0.0223796817884036,0,6,A,3,71,300071,2014-04-01,None,Saracen,16
GEP2,A7,BW33,C11,22.4766666666667,26.2,NaN,31.745,NaN,0,0.0214184813278078,0,7,A,3,33,300033,2014-04-09,None,Batten Win,16
GEP2,A8,AMK204,A4,23.575,26.485,NaN,31.885,NaN,0,0.023683071351725,0,8,A,3,204,300204,2014-04-09,None,Amarok,16
GEP2,B10,CRWT318,D4,22.5533333333333,24.835,25.5566666666667,31.865,29.41,0.606396500687864,0.00765172107489786,0.0419553907118834,10,B,3,318,300318,2014-04-23,None,CRWT153,16
GEP2,B2,SCN13,B1,20.665,24.31,33.3233333333333,30.655,NaN,0.00193515744778366,0.0123016871338938,0,2,B,3,13,300013,2014-03-18,None,Saracen,16
GEP2,B3,CRWT240,F1,21.2866666666667,24.9233333333333,34.685,32.605,NaN,0.00115198155563974,0.00487066114682067,0,3,B,3,240,300240,2014-03-18,None,CRWT153,16
GEP2,B4,SCN142,H1,21.2433333333333,24.855,32.31,33.69,NaN,0.00569929821968818,0.00218977749614944,0,4,B,3,142,300142,2014-03-25,None,Saracen,16
GEP2,B6,SCN131,H2,21.63,25.39,32.82,33.91,NaN,0.00579892019776972,0.00272410872334064,0,6,B,3,131,300131,2014-04-01,None,Saracen,16
GEP2,B7,CRWT151,E3,21.795,24.9466666666667,NaN,32.775,NaN,0,0.00439983966504908,0,7,B,3,151,300151,2014-04-09,None,CRWT153,16
GEP2,B8,AMK325,D10,23.185,25.85,NaN,31.615,NaN,0,0.0183891677690433,0,8,B,3,325,300325,2014-04-09,None,Amarok,16
GEP2,C2,CRWT65,F9,23.2533333333333,26.6833333333333,NaN,33.29,NaN,0,0.0102611293428,0,2,C,3,65,300065,2014-03-18,None,CRWT153,16
GEP2,C3,SCN265,G1,24.165,25.8433333333333,25.6833333333333,34.2433333333333,29.8433333333333,1.11728713807222,0.00296038391896562,0.0625,3,C,3,265,300265,2014-03-18,None,Saracen,16
GEP2,C4,CRWT145,A10,21.7533333333333,24.545,NaN,33.7933333333333,35.79,0,0.0016442742543532,0.000412019431704111,4,C,3,145,300145,2014-03-25,None,CRWT153,16
GEP2,C6,AMK275,A3,23.96,26.42,34.31,32.2,NaN,0.00421573529884541,0.0181989622885696,0,6,C,3,275,300275,2014-04-01,None,Amarok,16
GEP2,C7,SCN71,F3,20.9666666666667,24.7933333333333,30.19,30.585,NaN,0.0237378541286813,0.0180523858886293,0,7,C,3,71,300071,2014-04-09,None,Saracen,16
GEP2,C8,AMK20,B4,23.5333333333333,25.5066666666667,25.525,31.785,29.675,0.987372703553346,0.0128834846361051,0.0556168816154225,8,C,3,20,300020,2014-04-09,None,Amarok,16
GEP2,D10,AMK330,E4,20.48,23.38,25.6933333333333,33.925,25.1633333333333,0.201195043108978,0.000669327541493997,0.29051139673946,10,D,3,330,300330,2014-04-23,None,Amarok,16
GEP2,D12,CRWT274,G4,21.8333333333333,24.6866666666667,26.8,32.65,NaN,0.23111241505284,0.00400680125560164,0,12,D,3,274,300274,2014-05-16,Full,CRWT153,16
GEP2,D2,BW92,C1,20.43,23.7366666666667,35.14,30.2933333333333,NaN,0.000369193984433551,0.0106229872876004,0,2,D,3,92,300092,2014-03-18,None,Batten Win,16
GEP2,D3,BW287,E9,22.9966666666667,26.2566666666667,NaN,NaN,NaN,0,0,0,3,D,3,287,300287,2014-03-18,None,Batten Win,16
GEP2,D4,CRWT38,H9,22.25,25.28,NaN,31.7,NaN,0,0.0116785097549604,0,4,D,3,38,300038,2014-03-25,None,CRWT153,16
GEP2,D5,AMK126,D2,22.7533333333333,25.225,26.97,33.125,31.4166666666667,0.298333935757931,0.0041866150880324,0.013681150178217,5,D,3,126,300126,2014-04-01,None,Amarok,16
GEP2,D6,BW214,B10,17.83,21.6566666666667,34.175,32.005,NaN,0.000170453597226823,0.00076708106322306,0,6,D,3,214,300214,2014-04-01,None,Batten Win,16
GEP2,D7,SCN131,G3,22.2933333333333,25.4233333333333,30.53,33.52,NaN,0.0290228565637047,0.00365309081191532,0,7,D,3,131,300131,2014-04-09,None,Saracen,16
GEP2,E10,AMK76,F4,21.5466666666667,23.965,24.87,NaN,25.3133333333333,0.534032704023927,0,0.392745504370208,10,E,3,76,300076,2014-05-16,None,Amarok,16
GEP2,E5,CRWT42,E2,21.4466666666667,24.8,34.49,32.355,NaN,0.00121065205072167,0.00531763326757606,0,5,E,3,42,300042,2014-04-01,None,CRWT153,16
