Plate,sample_well,Name,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,TaNorm
GEP1,A1,AMK105,24.035,24.665,NaN,31.1,NaN,0,0.0115577149160065,0,1,A,3,105,300105,2014-02-04,None,Amarok,16,1.06032906764168
GEP1,A10,SCN2,22.195,22.3033333333333,23.665,32.955,30.735,0.389132486587164,0.000621625511389355,0.00289611244528324,10,A,3,2,300002,2014-03-04,None,Saracen,16,1.06032906764168
GEP1,A11,AMK190,21.865,22.795,NaN,29.5833333333333,NaN,0,0.00904707198941353,0,11,A,3,190,300190,2014-03-04,None,Amarok,16,1.06032906764168
GEP1,A12,SCN123,20.905,22.28,28.035,30.475,NaN,0.0185170745459622,0.00341239412467459,0,12,A,3,123,300123,2014-03-11,None,Saracen,16,1.06032906764168
GEP1,A2,CRWT262,21.185,22.87,NaN,29.68,NaN,0,0.00891221653022205,0,2,A,3,262,300262,2014-02-04,None,CRWT153,16,1.06032906764168
GEP1,A3,SCN326,20.7166666666667,21.435,28.075,28.03,NaN,0.0100267648247102,0.010344444612464,0,3,A,3,326,300326,2014-02-11,None,Saracen,16,1.06032906764168
GEP1,A4,OT55,22.25,22.67,25.76,31.475,NaN,0.117440343651751,0.00223578937616931,0,4,A,3,55,300055,2014-02-11,None,Otane,16,1.06032906764168
GEP1,A5,AMK212,22.28,22.89,NaN,29.34,NaN,0,0.0114381694995752,0,5,A,3,212,300212,2014-02-11,None,Amarok,16,1.06032906764168
GEP1,A7,OT242,21.13,21.915,21.62,NaN,25.13,1.22688497725381,0,0.107693269964002,7,A,3,242,300242,2014-02-18,None,Otane,16,1.06032906764168
GEP1,A8,OT84,24.4633333333333,23.9133333333333,23.85,NaN,27.015,1.04487715286087,0,0.116494466490885,8,A,3,84,300084,2014-02-25,None,Otane,16,1.06032906764168
GEP1,A9,AMK159,21.715,22.145,NaN,29.37,NaN,0,0.00668433613814534,0,9,A,3,159,300159,2014-02-25,None,Amarok,16,1.06032906764168
GEP1,B1,BS167,22.93,22.7766666666667,25.88,32.93,34.045,0.116359964512235,0.000878096226209166,0.00040540926119989,1,B,3,167,300167,2014-02-04,None,Batten Spr,16,1.06032906764168
GEP1,B10,BW158,21.6066666666667,22.64,NaN,30.925,NaN,0,0.00320602190941602,0,10,B,3,158,300158,2014-03-04,None,Batten Win,16,1.06032906764168
GEP1,B11,SCN309,25.535,24.7566666666667,27.77,31.64,NaN,0.123850076658153,0.00847052242422981,0,11,B,3,309,300309,2014-03-04,None,Saracen,16,1.06032906764168
GEP1,B12,BW102,21.26,21.7866666666667,NaN,31.475,NaN,0,0.0012120514589886,0,12,B,3,102,300102,2014-03-11,None,Batten Win,16,1.06032906764168
GEP1,B2,BS30,22.845,23.295,26.685,33.485,NaN,0.0953912005600349,0.000856060274722692,0,2,B,3,30,300030,2014-02-04,None,Batten Spr,16,1.06032906764168
GEP1,B3,BS80,20.9233333333333,21.45,24.515,29.835,33.575,0.119493164699218,0.00299132421307496,0.000223877940235515,3,B,3,80,300080,2014-02-11,None,Batten Spr,16,1.06032906764168
GEP1,B4,BW154,22.6833333333333,23.1933333333333,32.015,29.4966666666667,NaN,0.00221010914489941,0.0126621540814053,0,4,B,3,154,300154,2014-02-11,None,Batten Win,16,1.06032906764168
GEP1,B5,AMK278,21.975,22.34,NaN,28.895,NaN,0,0.0106352665351521,0,5,B,3,278,300278,2014-02-11,None,Amarok,16,1.06032906764168
GEP1,B6,AMK63,23.765,23.91,NaN,31.26,NaN,0,0.00612956326481837,0,6,B,3,63,300063,2014-02-18,None,Amarok,16,1.06032906764168
GEP1,B7,BW207,22.34,22.95,NaN,29.825,NaN,0,0.0085195916614473,0,7,B,3,207,300207,2014-02-18,None,Batten Win,16,1.06032906764168
GEP1,B8,BW43,21.7733333333333,22.55,31.04,30.13,NaN,0.00278134803827553,0.00522627951088323,0,8,B,3,43,300043,2014-02-25,None,Batten Win,16,1.06032906764168
GEP1,B9,BS246,19.2966666666667,19.935,21.24,NaN,27.685,0.404721108273705,0,0.00464534029297939,9,B,3,246,300246,2014-02-25,None,Batten Spr,16,1.06032906764168
GEP1,C1,CRWT140,23.32,24.645,NaN,32.59,NaN,0,0.00405804337225651,0,1,C,3,140,300140,2014-02-04,None,CRWT153,16,1.06032906764168
GEP1,C10,CRWT8,22.79,23.3133333333333,NaN,30.765,NaN,0,0.00571248161885713,0,10,C,3,8,300008,2014-03-04,None,CRWT153,16,1.06032906764168
GEP1,C11,AMK88,21.37,22.43,NaN,28.04,NaN,0,0.0204748969352869,0,11,C,3,88,300088,2014-03-04,None,Amarok,16,1.06032906764168
GEP1,C12,BS18,21.59,22.355,23.33,NaN,26.005,0.508739846051344,0,0.0796600392074538,12,C,3,18,300018,2014-03-11,None,Batten Spr,16,1.06032906764168
GEP1,C2,AMK306,23.82,23.355,NaN,30.53,NaN,0,0.00692005874298719,0,2,C,3,306,300306,2014-02-04,None,Amarok,16,1.06032906764168
GEP1,C3,AMK36,21.45,22.365,NaN,28.565,NaN,0,0.0136023525515019,0,3,C,3,36,300036,2014-02-11,None,Amarok,16,1.06032906764168
GEP1,C5,AMK239,22.6166666666667,23.515,NaN,30.1266666666667,NaN,0,0.0102256285321847,0,5,C,3,239,300239,2014-02-18,None,Amarok,16,1.06032906764168
GEP1,C6,SCN101,22.21,23.1733333333333,27.3733333333333,30.075,NaN,0.0544094102060078,0.00836356262652103,0,6,C,3,101,300101,2014-02-18,None,Saracen,16,1.06032906764168
GEP1,C7,BS225,21.6666666666667,22.48,24.06,NaN,28.87,0.334481888696528,0,0.0119239000700044,7,C,3,225,300225,2014-02-18,None,Batten Spr,16,1.06032906764168
GEP1,C8,AMK75,23.665,24.645,NaN,30.435,NaN,0,0.0180732528735201,0,8,C,3,75,300075,2014-02-25,None,Amarok,16,1.06032906764168
GEP1,C9,OT251,22.82,22.98,23.0233333333333,NaN,26.45,0.970410231493541,0,0.0902455747201559,9,C,3,251,300251,2014-02-25,None,Otane,16,1.06032906764168
GEP1,D1,CRWT64,23.56,24.2366666666667,NaN,31.395,NaN,0,0.00700046595243714,0,1,D,3,64,300064,2014-02-04,None,CRWT153,16,1.06032906764168
GEP1,D10,BS252,21.5633333333333,22.26,23.11,NaN,27.96,0.554784736033923,0,0.0192366314585143,10,D,3,252,300252,2014-03-04,None,Batten Spr,16,1.06032906764168
GEP1,D11,BS93,22.595,22.935,24.1333333333333,NaN,28.4133333333333,0.435778421941072,0,0.0224314496143565,11,D,3,93,300093,2014-03-04,None,Batten Spr,16,1.06032906764168
GEP1,D12,AMK9,23.885,24.545,NaN,32.265,NaN,0,0.00474294876716816,0,12,D,3,9,300009,2014-03-11,None,Amarok,16,1.06032906764168
GEP1,D2,BW332,21.9,22.55,NaN,28.63,NaN,0,0.0147821507300874,0,2,D,3,332,300332,2014-02-04,None,Batten Win,16,1.06032906764168
GEP1,D4,CRWT261,21.49,22.455,NaN,28.78,NaN,0,0.0124734122868226,0,4,D,3,261,300261,2014-02-11,None,CRWT153,16,1.06032906764168
GEP1,D5,CRWT175,21.2533333333333,21.8666666666667,NaN,29.49,NaN,0,0.00507163511000616,0,5,D,3,175,300175,2014-02-18,None,CRWT153,16,1.06032906764168
